id;author;author-aux;author-orcid;booktitle;cdate;cdrom;cite;cite-label;crossref;editor;editor-orcid;ee;ee-type;i;journal;key;mdate;month;note;note-type;number;pages;publisher;publtype;sub;sup;title;title-bibtex;tt;url;volume;year
0;Sanjeev Saxena;;;;;;;;;;;https://doi.org/10.1007/BF03036466;;;Acta Inf.;journals/acta/Saxena96;2017-05-28;;;;7;607-619;;;;;Parallel Integer Sorting and Simulation Amongst CRCW Models.;;;db/journals/acta/acta33.html#Saxena96;33;1996
1;Hans Ulrich Simon;;;;;;;;;;;https://doi.org/10.1007/BF01257084;;;Acta Inf.;journals/acta/Simon83;2017-05-28;;;;;227-248;;;;;Pattern Matching in Trees and Nets.;;;db/journals/acta/acta20.html#Simon83;20;1983
2;Nathan Goodman|Oded Shmueli;;;;;;;;;;;https://doi.org/10.1007/BF00289414;;;Acta Inf.;journals/acta/GoodmanS83;2017-05-28;;;;;171-178;;;;;NP-complete Problems Simplified on Tree Schemas.;;;db/journals/acta/acta20.html#GoodmanS83;20;1983
3;Norbert Blum;;;;;;;;;;;https://doi.org/10.1007/BF00264161;;;Acta Inf.;journals/acta/Blum82;2017-05-28;;;;;425-433;;;;;On the Power of Chain Rules in Context Free Grammars.;;;db/journals/acta/acta17.html#Blum82;17;1982
4;Arnold Schönhage;;;;;;;;;;;https://doi.org/10.1007/BF00289470;;;Acta Inf.;journals/acta/Schonhage77;2017-05-28;;;;;395-398;;;;;Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.;;;db/journals/acta/acta7.html#Schonhage77;7;1977
5;Juha Honkala;;;;;;;;;;;https://doi.org/10.1007/s00236-010-0128-1;;;Acta Inf.;journals/acta/Honkala11;2017-05-28;;;;1;19-24;;;;;A characterization of rational D0L power series.;;;db/journals/acta/acta48.html#Honkala11;48;2011
6;Christian Lengauer|Chua-Huang Huang;;;;;;;;;;;https://doi.org/10.1007/BF00282618;;;Acta Inf.;journals/acta/HuangL87;2017-05-28;;;;6;595-632;;;;;The Derivation of Systolic Implementations of Programs.;;;db/journals/acta/acta24.html#HuangL87;24;1987
7;Alain Finkel|Annie Choquet;;;;;;;;;;;https://doi.org/10.1007/BF00268843;;;Acta Inf.;journals/acta/FinkelC87;2017-05-28;;;;1;15-36;;;;;Fifo Nets Without Order Deadlock.;;;db/journals/acta/acta25.html#FinkelC87;25;1988
8;Joachim Biskup;;;;;;;;;;;https://doi.org/10.1007/BF00264322;;;Acta Inf.;journals/acta/Biskup78;2017-05-28;;;;;297-305;;;;;On the Complementation Rule for Multivalued Dependencies in Database Relations.;;;db/journals/acta/acta10.html#Biskup78;10;1978
9;George Rahonis|Symeon Bozapalidis|Zoltán Fülöp 0001;;;;;;;;;;;https://doi.org/10.1007/s00236-011-0148-5;;;Acta Inf.;journals/acta/BozapalidisFR12;2017-05-28;;;;1;29-52;;;;;Equational weighted tree transformations.;;;db/journals/acta/acta49.html#BozapalidisFR12;49;2012
10;Alex Kondratyev|Maciej Koutny|Victor Khomenko|Walter Vogler;;;;;;;;;;;https://doi.org/10.1007/s00236-006-0023-y;;;Acta Inf.;journals/acta/KhomenkoKKV06;2017-05-28;;;;5;307-330;;;;;Merged processes: a new condensed representation of Petri net behaviour.;;;db/journals/acta/acta43.html#KhomenkoKKV06;43;2006
11;Wim H. Hesselink;;;;;;;;;;;https://doi.org/10.1007/s00236-013-0178-2;;;Acta Inf.;journals/acta/Hesselink13;2017-05-28;;;;3;199-228;;;;;Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.;;;db/journals/acta/acta50.html#Hesselink13;50;2013
